Instances,No Rotation No SB,No Rotation SB,Rotation No SB,Rotation SB
Instance 1,0.014000415802001953,0.019435644149780273,0.017817020416259766,0.04435300827026367
Instance 2,0.018283605575561523,0.026685476303100586,0.02215576171875,0.10039615631103516
Instance 3,0.03451824188232422,0.04251384735107422,0.06239748001098633,0.09410762786865234
Instance 4,0.04668855667114258,0.05178689956665039,0.11646294593811035,0.5150837898254395
Instance 5,0.10084390640258789,0.10475516319274902,0.4804680347442627,0.32062387466430664
Instance 6,0.12831354141235352,0.15161728858947754,0.4656808376312256,0.6160836219787598
Instance 7,0.1271800994873047,0.09913182258605957,0.8933093547821045,1.0722191333770752
Instance 8,0.16695618629455566,0.2609109878540039,0.35962700843811035,0.9157407283782959
Instance 9,0.17067480087280273,0.24282002449035645,0.9767625331878662,1.8111586570739746
Instance 10,0.5129225254058838,0.8648996353149414,11.691515684127808,3.482250452041626
Instance 11,10.425851345062256,10.522461414337158,-,296.1747786998749
Instance 12,1.978635311126709,3.7938880920410156,222.72847151756287,100.29893493652344
Instance 13,2.1112587451934814,1.423443078994751,66.09242630004883,25.599112033843994
Instance 14,3.724433183670044,1.0282442569732666,35.33245611190796,18.139458894729614
Instance 15,1.3231027126312256,1.821563959121704,50.53174328804016,87.15495204925537
Instance 16,69.70969009399414,13.84648609161377,-,-
Instance 17,7.110841274261475,6.054898500442505,86.39289879798889,248.60085701942444
Instance 18,10.875821828842163,14.726096153259277,-,-
Instance 19,156.50729036331177,149.6561918258667,-,-
Instance 20,25.623967170715332,24.884028911590576,-,-
Instance 21,236.65679812431335,42.9771888256073,-,-
Instance 22,-,-,-,-
Instance 23,9.604979991912842,18.159380197525024,-,-
Instance 24,11.900492906570435,7.868380308151245,56.93316721916199,-
Instance 25,161.9988362789154,-,-,-
Instance 26,117.55856394767761,78.65367317199707,-,-
Instance 27,40.42498064041138,35.04258322715759,-,-
Instance 28,31.067938089370728,63.20263147354126,-,-
Instance 29,50.989442110061646,204.32837629318237,-,-
Instance 30,-,-,-,-
Instance 31,6.496835947036743,8.069088697433472,28.116373300552368,236.7379424571991
Instance 32,-,-,-,-
Instance 33,18.381397247314453,12.005862951278687,-,-
Instance 34,-,-,25.45555019378662,-
Instance 35,178.54804849624634,68.44427585601807,-,-
Instance 36,65.6824278831482,41.44211173057556,-,-
Instance 37,-,-,-,-
Instance 38,-,-,-,-
Instance 39,-,-,-,-
Instance 40,-,-,-,-
